Model,label,alpha,n_cluster,val_AUROC,val_std_AUROC, val_AUPRC, val_std_AUPRC,test_AUROC,test_std_AUROC, test_AUPRC, test_std_AUPRC
GAT,Y,0.0,40,0.8872927395798316,0.0211289868807667,0.8271490690840336,0.0510184675419922,0.7832971014492753,0.0220352417698824,0.793493536163327,0.0254239414358129
GAT,Y,0.01,40,0.9029035342526336,0.0242457081589203,0.8537142207431888,0.0486763841561142,0.7763043478260869,0.0269104132700531,0.7887020250008066,0.0165576905257192
GAT,Y,0.02,40,0.9049269967038948,0.026841101948012,0.8546336330733375,0.0575323483978998,0.7920652173913043,0.0258276158886389,0.8060321259816711,0.0378852857062609
GAT,Y,0.03,40,0.9062302008238154,0.0252703444891988,0.852907216578944,0.045050264695584,0.7917391304347825,0.0156169928023353,0.8029255264577326,0.0193601006639027
GAT,Y,0.04,40,0.9121135130100166,0.0224078876427393,0.8652864651999316,0.0470067154504607,0.7906884057971014,0.0245045422277597,0.806766620841487,0.0364277149849727
GAT,Y,0.05,40,0.911139318280352,0.024414420190426,0.8611870756620238,0.0461635938198212,0.7699275362318841,0.0263291395127455,0.7824977797232056,0.0280539137063041
GAT,Y,0.1,40,0.9138103728498528,0.0272230598841228,0.8583581361782251,0.0657381195983705,0.7663768115942029,0.0452893623161599,0.7883907146758149,0.0222633953058033
GCN,Y,0.0,40,0.9094490999675056,0.0238399194178472,0.8582091136829911,0.0372503408834211,0.7253985507246377,0.0223616777876876,0.7488382114407823,0.0213216308194184
GCN,Y,0.01,40,0.9035941139474072,0.0260519570430795,0.8504051992691023,0.0361460757257966,0.6906159420289855,0.0233754346072792,0.7516324680933156,0.0179171011987979
GCN,Y,0.02,40,0.896437917565908,0.0242339231567318,0.842031314218703,0.0286169695033003,0.6813768115942029,0.0284300029961899,0.733699903883408,0.0356556520212741
GCN,Y,0.03,40,0.8947159546832412,0.022930536830538,0.8549747507086348,0.0320624189963673,0.6635144927536232,0.026529459555796,0.7170677635324413,0.0211815421210277
GCN,Y,0.04,40,0.8938970457883798,0.0233690092704048,0.8489329759587326,0.0387533301621589,0.6890579710144928,0.0317705489388863,0.7241416211163791,0.0291083127439752
GCN,Y,0.05,40,0.8970805833968148,0.0209233446638071,0.8425524292449348,0.0377181876626371,0.6915942028985507,0.0440922230510708,0.7218920532848656,0.0351799883189118
GCN,Y,0.1,40,0.9033893940622282,0.0266753909778266,0.8602970791768716,0.0357979701707214,0.7041304347826086,0.0343717048410142,0.737434728348948,0.0441431853980952
Weave,Y,0.0,40,0.91208940526001,0.0286337194839299,0.868372451270635,0.0453509860806247,0.8207971014492752,0.0091160457126427,0.8596263692943534,0.0099802107426459
Weave,Y,0.01,40,0.911659062597894,0.0287256633842468,0.8681959934784139,0.0460348413459703,0.8152173913043479,0.0153701784652407,0.8450057456397774,0.0108422750006012
Weave,Y,0.02,40,0.9136871510707884,0.0289255224998391,0.868573828957538,0.0469246537064501,0.8227898550724639,0.0073697825342389,0.8510965775332906,0.0100005216901878
Weave,Y,0.03,40,0.9095334701582214,0.0260090288386067,0.8644708132199312,0.0447252256735122,0.821376811594203,0.008269287600048,0.8596413540922831,0.0064410613716978
Weave,Y,0.04,40,0.9145010461051084,0.029201463043308,0.8665526594168756,0.0605963198495797,0.8270652173913045,0.0114291926234692,0.8708368785218946,0.0082399064009561
Weave,Y,0.05,40,0.9085996052159482,0.0293745771246117,0.8525541922876755,0.061741508391347,0.8203260869565216,0.0082266325870253,0.8575941237953335,0.0150781850756449
Weave,Y,0.1,40,0.9094295076606052,0.0250115723185927,0.8580611644074093,0.0513129191262444,0.8309420289855073,0.0137897427398381,0.8580840362701408,0.0118873309477337
AFP,Y,0.0,40,0.7143743203645767,0.032843181434058,0.6078560793503731,0.0509522271693322,0.7847101449275362,0.0167478332355095,0.8004325795593082,0.0142681583288198
AFP,Y,0.0,40,0.7143602358575344,0.0328397238064878,0.6078444490325726,0.0509493467269289,0.7847101449275362,0.0167478332355095,0.8004325795593082,0.0142681583288198
AFP,Y,0.01,40,0.6985201535323551,0.0225939893472272,0.5869480774662185,0.0354373635927056,0.7867028985507247,0.0091857651762689,0.7988836804029805,0.0111048918764555
AFP,Y,0.02,40,0.705343367934212,0.0108777666276567,0.5853186604553143,0.0402300454971844,0.7873550724637681,0.0110084127002276,0.7966006194634963,0.0105375764711532
AFP,Y,0.03,40,0.6877235400390151,0.0475814197014321,0.5854022385455222,0.0443540829574954,0.7732246376811595,0.034356997491378,0.7871269348301569,0.0263032949488404
AFP,Y,0.03,40,0.6877095344367743,0.0475579378709981,0.5854502917296273,0.044436939729111,0.7732246376811595,0.034356997491378,0.7871269348301569,0.0263032949488404
AFP,Y,0.04,40,0.7073181548563641,0.0311094171686475,0.6002637912946001,0.0469616476453087,0.7901811594202899,0.0083438811632863,0.7997964249007276,0.0113133395279424
AFP,Y,0.04,40,0.7073181548563641,0.0311094171686475,0.6002643275451363,0.0469611705408033,0.7901811594202899,0.0083438811632863,0.7997964249007276,0.0113133395279424
LR,Y,-,-,0.0,0.0,0.0,0.0,0.8366304347826088,0.006917728488732,0.8971716883566655,0.0044474288084586
RF,Y,-,-,0.0,0.0,0.0,0.0,0.858550724637681,0.007412409481722,0.8948336916202377,0.0036783590719132
SVM,Y,-,-,0.0,0.0,0.0,0.0,"",0.006580452298054,0.9054170110586192,0.0041976089548227
Weave,Y,0.06,40,0.907059384293545,0.0250017857022987,0.8577856385412836,0.0493649115389357,0.8291666666666666,0.0127240475582021,0.8473165092467327,0.0123540412307126
