Model,label,alpha,n_cluster,val_AUROC,val_std_AUROC, val_AUPRC, val_std_AUPRC,test_AUROC,test_std_AUROC, test_AUPRC, test_std_AUPRC
GAT,Y,0.9,40,0.8881200619880791,0.02457464429945054,0.8396801448757604,0.029290020036903026,0.8821910604732691,0.008777667193281304,0.8418975801187603,0.014542686922444446
GAT,Y,1.0,40,0.8922078579554512,0.022831816871774515,0.8548477293095091,0.03335289496248336,0.8759158632778264,0.013913398937652031,0.826187344136265,0.014644994993196122
GCN,Y,0.7,40,0.8899757427375687,0.025006583492067577,0.8519138395383639,0.05230419023313136,0.867808939526731,0.012026334752068135,0.8431049071039212,0.010518123581806748
GCN,Y,0.8,40,0.8724567238651642,0.020651261866087744,0.8309802702600961,0.042768911544444,0.8636108676599473,0.009421074931970507,0.8351707105011421,0.016132914983250778
GCN,Y,0.9,40,0.880611652515106,0.03157162884235404,0.8370412931017658,0.061791919854679696,0.8605346187554777,0.012950649521975565,0.836333456624455,0.02009616155020366
GCN,Y,1.0,40,0.8757365844592199,0.027785576071215828,0.8245043414163679,0.06432073595321185,0.8604732690622262,0.015744759930939826,0.830261040897366,0.01866297111497515
GAT,Y,0.6,5,0.8833482476253091,0.030869716265947044,0.836078945294737,0.030270034385981068,0.8821998247151621,0.017698374756452237,0.8411812762895355,0.026208939359570495
GAT,Y,0.6,10,0.8811181210627754,0.03019217926336195,0.834223207393103,0.03239076765801539,0.887353198948291,0.003026976807470864,0.8518841987798604,0.01223066053933561
GAT,Y,0.6,20,0.8875601433786148,0.030096815331956236,0.8465404566533115,0.04258386099518055,0.8979754601226994,0.007443179163445434,0.8644002654675326,0.017630551740651867
GCN,Y,0.6,5,0.8840273545544889,0.031179300685924356,0.8489906981468398,0.052332344611525985,0.8516389132340052,0.003973266911521025,0.8053735780746767,0.032281391411609746
GCN,Y,0.6,10,0.8827111684239026,0.030181473323606073,0.8277879165258784,0.0607119858396692,0.8550920245398773,0.010317578836940273,0.8105172171058683,0.017531723784660298
GCN,Y,0.6,20,0.8767466498871839,0.03538781067361634,0.8256221003961816,0.06561284606787764,0.858150744960561,0.015590130479330347,0.8259742029840748,0.023494606031894648
AFP,Y,0.0,40,0.7458001350092192,0.04010236301426477,0.6676729789312701,0.0604900615091464,0.8185889570552147,0.0043714506374841295,0.7508472376270443,0.00402078409808468
AFP,Y,0.1,40,0.7457397419754475,0.048294444612257896,0.6689375868401451,0.06119268842760682,0.821262050832603,0.006594147107514313,0.7575882634257998,0.008363374299841951
AFP,Y,0.2,40,0.7451431515067044,0.04142907644759831,0.6638955937193641,0.043237623622936684,0.8151358457493426,0.009194546078495663,0.7531729786025617,0.013664858900212613
AFP,Y,0.3,40,0.7482485285127083,0.041386530715675454,0.6668822815338322,0.041865671967662464,0.8136371603856267,0.005570735812716805,0.7490563188395003,0.008393298363949357
AFP,Y,0.5,40,0.7508933724992564,0.041295292688463374,0.6745632149982019,0.04317027957082154,0.8110692375109553,0.004398444618565821,0.753210400112966,0.005599323084394714
AFP,Y,0.6,40,0.7506691088576563,0.03822982462945509,0.6732662624161757,0.03586662983713521,0.8119281332164767,0.003493119418950075,0.7524764391317421,0.006577414741308399
AFP,Y,0.7,40,0.7497125991710762,0.03692221339449899,0.6695240511828294,0.0357064623033537,0.8090008764241892,0.0023941945478547096,0.7496327437770944,0.0017945145248705824
LR,Y,-,-,0.0,0.0,0.0,0.0,0.9026730937773882,0.004601769510189495,0.8751604819869179,0.0052442028214691894
RF,Y,-,-,0.0,0.0,0.0,0.0,0.8807800175284838,0.0029391718544033896,0.8600723589306674,0.004073285228431653
SVM,Y,-,-,0.0,0.0,0.0,0.0,0.9038299737072742,0.003412724220021918,0.8808545167799199,0.0021969087259403695
AFP,Y,0.8,40,0.7498417555910191,0.040626733537662496,0.6722566910830776,0.038807517024644536,0.8075635407537248,0.006904287089138967,0.7486064128687897,0.0034308691477816225
Weave,Y,0.0,40,0.8531825643764457,0.03580822955265037,0.8010294153693541,0.06281091190470492,0.858957055214724,0.015095846324074434,0.8282058672174692,0.019337021658439077
Weave,Y,0.1,40,0.7540028426398129,0.03882846884793168,0.6846341986972589,0.07147033667773518,0.6262401402278701,0.08554407271676673,0.5350690934708325,0.07885021415820115
Weave,Y,0.0,40,0.8774620820797805,0.032430963397914514,0.8289274675748215,0.04395964206155309,0.8935319894829098,0.010117314205478692,0.8701368772634156,0.02027926816906398
Weave,Y,0.1,40,0.880298585294993,0.03492020742678019,0.8182344161679573,0.04774332558400785,0.890578439964943,0.004661967104129097,0.860446945035027,0.011432266749365804
Weave,Y,0.2,40,0.868751683280885,0.03647518940861296,0.8091244229182817,0.05433123808274941,0.8911042944785276,0.011527660368413462,0.8542423400296526,0.024862696023446124
Weave,Y,0.3,40,0.8529999039350551,0.03390486263926072,0.7674213280095984,0.06505947193139036,0.8707274320771254,0.015269789527182356,0.817039739666626,0.0189330656667395
Weave,Y,0.4,40,0.8364796468139595,0.030735843677588217,0.7571598111105986,0.0668861473573671,0.8544741454864155,0.031196646183044605,0.7845425501006555,0.06270266873565386
Weave,Y,0.5,40,0.7873431692238275,0.028690469079695913,0.6920892067181994,0.05167971120494579,0.7928965819456617,0.03759401204749768,0.7014756011815676,0.06802079551215773
Weave,Y,0.6,40,0.7599126747110212,0.037539112528829334,0.6626417775293937,0.048889365107936615,0.653510078878177,0.06941962924162388,0.5282167673951134,0.06108911735948953
Weave,Y,0.7,40,0.7471701980932739,0.02108274893227581,0.6613784705996294,0.02836168472795045,0.6171603856266434,0.09451670532171248,0.513319318917889,0.07198899469777738
Weave,Y,0.8,40,0.7539324677329143,0.0326443145445476,0.6702561204504172,0.04892965701543643,0.6568755477651183,0.08056926553870611,0.5404877162714092,0.07489471025981773
AFP,Y,0.0,40,0.6793046662804585,0.06556628558078302,0.6096542928776836,0.08810023959732607,0.7735056967572305,0.027347631220614003,0.7004601646588133,0.030546652982614143
AFP,Y,0.1,40,0.7049035623499822,0.050948675286981576,0.6258501587926885,0.07701592121643344,0.7948992112182296,0.006005686765155039,0.7187249948299675,0.01039169387374468
AFP,Y,0.2,40,0.7088669211703029,0.04919678222939728,0.631788262273004,0.06864661129047316,0.7972392638036809,0.00504115353986391,0.7206777139563749,0.006312581498522678
AFP,Y,0.3,40,0.7168456686469843,0.04870862438256202,0.6296414878307116,0.06969418279041494,0.800122699386503,0.004267240886861773,0.7233545492043044,0.006208663587393975
AFP,Y,0.4,40,0.7189828586956013,0.0509661600123745,0.6288296048161766,0.06284335849028662,0.801279579316389,0.008477219483661511,0.7235797907559255,0.017602253188323255
AFP,Y,0.5,40,0.7101898472164812,0.05258355661360328,0.6240583982520445,0.06898359304932859,0.7784487291849255,0.05407536821889851,0.7024101152318185,0.044527286456808715
AFP,Y,0.6,40,0.6947907723069529,0.023012636471958975,0.6241218998853543,0.04646569568058746,0.7409465381244523,0.07907793675048673,0.6763334308599476,0.06265863583725657
AFP,Y,0.7,40,0.6866878490212068,0.03753281754724359,0.6234885848842128,0.04607448629502863,0.7548685363716039,0.051427288439871044,0.6863967190751505,0.0450244223540512
