Unnamed: 0,Model,label,alpha,n_cluster,val_AUROC,val_std_AUROC, val_AUPRC, val_std_AUPRC,test_AUROC,test_std_AUROC, test_AUPRC, test_std_AUPRC
0,GAT,Y,0.0,40,0.9228820394441845,0.015704496411648,0.978277248358434,0.0071076022753941,0.6992388476731862,0.0251993772603909,0.6941341649986548,0.0378062006790057
3,GAT,Y,0.01,40,0.9276248163947596,0.0077636147215806,0.9760512940118028,0.0038262256753564,0.7022834569804413,0.0283831973701595,0.6780817193602393,0.0372752370073168
6,GAT,Y,0.02,40,0.9241653479574824,0.0104475534340189,0.9756127505370576,0.0067233913113026,0.6910877733885731,0.0102456722817461,0.6729493788333093,0.0242117088219216
9,GAT,Y,0.03,40,0.9239839933495322,0.0089737041306007,0.97351551326092,0.0078435466384537,0.7004721071394162,0.0219675525644925,0.6681969341541953,0.0317156868024273
12,GAT,Y,0.04,40,0.9219191367293208,0.0220151710651082,0.9758770994149526,0.0088714877002447,0.6934386742460739,0.0351828881773836,0.666571570931691,0.0439720260376677
15,GAT,Y,0.05,40,0.920208317034119,0.0105320692768649,0.9721451197899402,0.0061205522807675,0.6995664322189036,0.0334679657538297,0.6849555134028863,0.0471546621138707
18,GAT,Y,0.1,40,0.9186470881646738,0.0161146682567467,0.9747005979870156,0.0072177713541383,0.6846517005491859,0.0236270941716975,0.6735118638308323,0.0250651213249386
21,GCN,Y,0.0,40,0.9209246839464812,0.0134614874830153,0.9779818108074234,0.0084501707962487,0.6632816263609211,0.0190022291602209,0.6298210768006438,0.0378914736396502
24,GCN,Y,0.01,40,0.9274912408283228,0.0108025290000302,0.9788533384275412,0.0068356167553644,0.6724732633201657,0.0406693688894225,0.6670822640386904,0.0475638270509967
27,GCN,Y,0.02,40,0.9184475750512142,0.0100709337978969,0.9762567084518754,0.001762742232611,0.6768474804894498,0.0439042206953593,0.6496395763568307,0.051305985485865
30,GCN,Y,0.03,40,0.9167469354938405,0.0085167587699308,0.9746667551074882,0.0050124600249433,0.6687638500818961,0.0302989035481811,0.6377012123252875,0.0370522191305926
33,GCN,Y,0.04,40,0.9156189353035182,0.0076250849195546,0.9732305678094588,0.0064328540528596,0.6639753348106753,0.0263145513788375,0.6351224640308486,0.0343489675940154
36,GCN,Y,0.05,40,0.9138013108597896,0.0084697997082229,0.973383862787644,0.0064823195289881,0.6624144907987282,0.0226027997482975,0.6322044682924861,0.0331452400115394
39,GCN,Y,0.1,40,0.9104605518756352,0.0063531030844337,0.9704730566572336,0.0035417362511042,0.6699682050293863,0.0251580107741169,0.6355083563495902,0.026810395736205
42,Weave,Y,0.0,40,0.943313299922004,0.0158620076686587,0.984360578303723,0.0075228376173191,0.7065227863956064,0.0111166176163348,0.7004270147056382,0.0209855789409515
45,Weave,Y,0.01,40,0.9368446462323534,0.0190052321476383,0.981378309173254,0.0098088041375707,0.7137874554388669,0.0131693278858285,0.7079631639816194,0.0172596653370369
48,Weave,Y,0.02,40,0.9360159284204485,0.0168143962768801,0.9808834854964616,0.0094311296136038,0.7170054918585606,0.0063736921641025,0.7075914366699028,0.0079474293513209
51,Weave,Y,0.03,40,0.9357518749644296,0.0174158683782394,0.9809088005132498,0.0082369243305822,0.7031891319009539,0.0193059298677316,0.696337605205518,0.0190353122273704
54,Weave,Y,0.04,40,0.9391607161998886,0.0153412717788388,0.9831693162456429,0.0077873045593695,0.7136332980055882,0.0152660863555797,0.7125717260628391,0.0120278426927841
57,Weave,Y,0.05,40,0.9355693312803606,0.015233498737262,0.9810013629831827,0.0089526977058326,0.7062722805665287,0.0134549560207267,0.6953409582678114,0.019713811816762
60,Weave,Y,0.1,40,0.9357170050354612,0.017371186746737,0.9807607938373836,0.0107069614417924,0.698660757298391,0.0136658032240152,0.6953188042054574,0.025662628713221
63,AFP,Y,0.0,40,0.7933231544457066,0.0287909372181406,0.938290797698885,0.021715077744018,0.6442239136718373,0.0124589466303204,0.6458980720229384,0.0120705586963375
65,AFP,Y,0.0,40,0.7933231544457066,0.0287909372181406,0.9382908114043084,0.0217150756846619,0.6442239136718373,0.0124589466303204,0.6458980720229384,0.0120705586963375
66,AFP,Y,0.01,40,0.7912382816219725,0.0281993940421213,0.9329049487262336,0.0305468902211901,0.6459581847962231,0.0223012385125592,0.648999221829347,0.0172330245683054
68,AFP,Y,0.01,40,0.792092598168735,0.0288990998958428,0.9329439815217928,0.030582284425646,0.6431640813180459,0.0223663291351644,0.6471263088658701,0.0169638678399152
69,LR,Y,-,-,0.0,0.0,0.0,0.0,0.673301859524039,0.0056184912526375,0.7037956916456267,0.0108831836915186
70,RF,Y,-,-,0.0,0.0,0.0,0.0,0.6929569322670779,0.0086557974568264,0.7438558747857975,0.0068002978698721
71,SVM,Y,-,-,0.0,0.0,0.0,0.0,0.7142210232199634,0.0076582369517394,0.7331731954868219,0.0092299228824497
