Model,label,alpha,n_cluster,val_AUROC,val_std_AUROC, val_AUPRC, val_std_AUPRC,test_AUROC,test_std_AUROC, test_AUPRC, test_std_AUPRC
GCN,Y,0.3,40,0.9121316293881716,0.014701209196126634,0.9647736360264281,0.009798434955985143,0.8896958751249718,0.01677810045029564,0.9445333019679462,0.011607725806621224
GCN,Y,0.4,40,0.9140018889987365,0.015813127254173453,0.9651688675050545,0.00987791658039081,0.8784145515528751,0.01466716497133353,0.9345946904654061,0.016885471042438063
Weave,Y,0.05,40,0.9236927858599838,0.009197537560791362,0.9714431656248651,0.005895780392633931,0.9268552262392362,0.004413151580223614,0.9708723326660049,0.0025961283425291657
GCN,Y,0.5,40,0.9138268879094742,0.01315464496473394,0.9628025679482578,0.011530048149155174,0.8821685425871578,0.014428058443803201,0.9386093787925797,0.01505081628829384
GAT,Y,0.05,40,0.9035242761619801,0.016198794176687348,0.9598201029156457,0.012805299067714505,0.9039313703357305,0.01696792569305551,0.9557088341617435,0.008548092919253836
GCN,Y,0.6,40,0.9125124457439867,0.019308391795497225,0.9642640885206657,0.012357708061623925,0.8837810816912309,0.018075815042473155,0.9422401795778681,0.015168057695678422
GAT,Y,0.0,40,0.8996591951753835,0.013730922530347441,0.9578476470552534,0.010874212189788545,0.893198310059019,0.007233228527745221,0.9547973873115227,0.005004194933948385
Weave,Y,0.02,40,0.9251819515478303,0.010577033263217213,0.9709684440949842,0.0070495718011327185,0.9334795368787692,0.0024492425365281534,0.9739020369111959,0.0012005432481914835
GAT,Y,0.1,40,0.9033530275392663,0.01312657795439716,0.9595724115710054,0.011245571093395237,0.8971587060986229,0.012359960655220168,0.9504655241443352,0.012988198960751096
GAT,Y,0.02,40,0.8998069389569684,0.01234625948317053,0.9561087986854175,0.01098436458546632,0.8928048505176249,0.01692823121946218,0.9518689738900127,0.008730345295658361
AFP,Y,0.05,40,0.7983365589006924,0.0260893304819182,0.9098364766938799,0.022992912173062808,0.7911181346147643,0.012127930507855678,0.9043386949869381,0.006596141973447119
GAT,Y,0.2,40,0.9058012558417319,0.012333917490317394,0.9605637749988508,0.011509243264076294,0.8789176637533458,0.013234969684003235,0.9403879778613595,0.012778736980376829
GAT,Y,0.3,40,0.9132657779247495,0.007210133474746366,0.9620553085934926,0.010874230125337446,0.893488567097752,0.027051840663542503,0.9468067093246259,0.016656646375267987
Weave,Y,0.01,40,0.9258890813077493,0.011640217193333073,0.9708292180671858,0.008632371180102748,0.9132260457316089,0.0282044667261491,0.9653418601068928,0.01243683999177187
AFP,Y,0.02,40,0.7969442047662035,0.029702827969719722,0.9132611205397945,0.023778772455724594,0.7866675266875222,0.012704162318251796,0.9015424826001308,0.006889988464978514
GAT,Y,0.4,40,0.9143088568127089,0.008760150533342868,0.9654575567330099,0.009325062511514891,0.8940626310188022,0.01153204992437615,0.9495459039070434,0.007646059052464424
GAT,Y,0.01,40,0.9020902007043867,0.01957388591184249,0.9623663020536757,0.010688456300471867,0.8994614119392395,0.01650320891421433,0.9505683227510063,0.017502390946585535
GAT,Y,0.5,40,0.9099868854635238,0.018652608252914347,0.9667312741936642,0.009046181121731882,0.8706098622891606,0.03771109199356312,0.9317562393512719,0.022700144948366505
Weave,Y,0.03,40,0.9246595530169625,0.00783335299259156,0.9701969543436583,0.005940548008611234,0.9064082303995871,0.03291097738310153,0.9615073794090957,0.015912547132795503
GAT,Y,0.6,40,0.9173867671709435,0.007337194166586308,0.9647101528545253,0.01093172013435212,0.8975457154836004,0.014849394828573956,0.9477950767566823,0.01192776261179915
AFP,Y,0.01,40,0.7948441640795758,0.030303177357108205,0.9093674254010026,0.02454132363272118,0.7850936885219466,0.016228478178500587,0.9003573008092068,0.008721911040813568
Weave,Y,0.04,40,0.9218231561187835,0.009907239065569527,0.9694848763117981,0.006923939374637982,0.9269455284290643,0.002451008515374863,0.9710685956340059,0.0009424415783802499
AFP,Y,0.0,40,0.7900592147147805,0.02348529613818696,0.9052016063600437,0.020458996876170015,0.7830489889379817,0.011356397513548723,0.9025236721941102,0.0057203854605321625
GAT,Y,0.03,40,0.908607064659573,0.01697527465656111,0.962411612027287,0.009673380707290229,0.9049569452059213,0.014920244951373857,0.9588093173355932,0.007312862640891892
GAT,Y,0.04,40,0.9074550088862565,0.012837181270513058,0.9611787867492044,0.009082156961613198,0.9045860612119844,0.00991323152556396,0.9549768952455218,0.009862299150134092
AFP,Y,0.1,40,0.7976170130880839,0.027435379961219784,0.9091100419190262,0.023983811022975438,0.7885025961879574,0.012949901465893797,0.9011468845241696,0.0065327930209865565
AFP,Y,0.03,40,0.7929616144158612,0.028237760335919647,0.9061507848927848,0.023959835713599848,0.7891185861257136,0.010359589774467572,0.9014772686690623,0.002802398393010116
AFP,Y,0.04,40,0.7932692021947886,0.025254402405227295,0.9055485418059991,0.023880405158040255,0.7861644144870514,0.006536258931139167,0.9015597147075786,0.0029507607660336234
Weave,Y,0.02,20,0.9215381027722467,0.008470624362809308,0.9691337710118327,0.005596216389084841,0.9252878382300771,0.005198105780843625,0.970013297206419,0.0021410664277289504
Weave,Y,0.02,10,0.9207900559318265,0.007532340337524185,0.9689661051950076,0.005035682360407517,0.920182539426581,0.017048083106547852,0.9675726143944348,0.00694665822970454
Weave,Y,0.02,5,0.9264621793296459,0.010564804937036855,0.9727485069312675,0.0061426800578552885,0.9286935208178797,0.0040947572231355275,0.9715437826699548,0.0016478160446122914
Weave,Y,0.02,40,0.9251819515478303,0.010577033263217213,0.9709684440949842,0.0070495718011327185,0.9334795368787692,0.0024492425365281534,0.9739020369111959,0.0012005432481914835
Weave,Y,0.0,40,0.922181166486482,0.008890035789761963,0.9704051967235291,0.006577427553360829,0.9026542393653045,0.037343958075548654,0.9563693141433045,0.021327692628048733
Weave,Y,0.02,40,0.9251819515478303,0.010577033263217213,0.9709684440949842,0.0070495718011327185,0.9334795368787692,0.0024492425365281534,0.9739020369111959,0.0012005432481914835
Weave,Y,0.0,40,0.922181166486482,0.008890035789761963,0.9704051967235291,0.006577427553360829,0.9026542393653045,0.037343958075548654,0.9563693141433045,0.021327692628048733
